filename,width,height,class,xmin,ymin,xmax,ymax
armas (1505),375,500,pistol,108,16,354,481
armas (1506),500,333,pistol,2,11,440,330
armas (1507),500,375,pistol,13,20,486,246
armas (1508),500,268,pistol,184,47,350,177
armas (1509),500,195,pistol,84,44,94,56
armas (1509),500,195,pistol,212,42,223,57
armas (1510),500,455,pistol,50,28,402,411
armas (1511),500,353,pistol,3,17,422,189
armas (1512),375,500,pistol,175,168,193,203
armas (1513),375,500,pistol,227,132,267,174
armas (1514),375,500,pistol,199,162,211,178
armas (1515),500,375,pistol,170,115,456,320
armas (1516),500,375,pistol,93,91,435,333
armas (1517),500,375,pistol,253,115,279,136
armas (1518),375,500,pistol,185,258,208,275
armas (1519),500,375,pistol,133,161,230,302
armas (1519),500,375,pistol,31,174,113,280
armas (1519),500,375,pistol,245,154,325,268
armas (1519),500,375,pistol,326,162,412,319
armas (1519),500,375,pistol,417,171,500,288
armas (1519),500,375,pistol,427,2,495,59
armas (1519),500,375,pistol,264,47,341,146
armas (1519),500,375,pistol,77,40,139,143
armas (1519),500,375,pistol,141,34,201,132
armas (1519),500,375,pistol,329,2,373,39
armas (1519),500,375,pistol,205,46,276,144
armas (1520),500,375,pistol,272,128,436,328
armas (1520),500,375,pistol,4,185,90,328
armas (1520),500,375,pistol,99,138,191,312
armas (1520),500,375,pistol,179,133,293,300
armas (1520),500,375,pistol,1,15,76,114
armas (1520),500,375,pistol,36,67,231,134
armas (1520),500,375,pistol,87,14,339,112
armas (1520),500,375,pistol,334,92,499,150
armas (1520),500,375,pistol,302,13,439,83
armas (1521),900,675,pistol,29,128,764,452
armas (1521),900,675,pistol,314,272,870,609
armas (1522),500,400,pistol,36,10,463,387
armas (1523),500,333,pistol,12,141,231,286
armas (1523),500,333,pistol,134,29,272,234
armas (1523),500,333,pistol,254,155,488,299
armas (1524),500,333,pistol,38,58,471,305
armas (1525),500,333,pistol,102,81,423,312
armas (1526),387,500,pistol,83,350,108,383
armas (1526),387,500,pistol,36,76,73,186
armas (1526),387,500,pistol,250,57,294,85
armas (1526),387,500,pistol,290,167,333,198
armas (1526),387,500,pistol,183,388,193,409
armas (1527),500,400,pistol,97,123,410,278
armas (1528),500,375,pistol,1,32,479,367
armas (1529),500,375,pistol,96,13,499,373
armas (1530),500,375,pistol,35,56,480,350
armas (1531),500,375,pistol,88,157,401,360
armas (1532),500,375,pistol,159,144,400,350
armas (1533),375,500,pistol,72,121,375,487
armas (1534),500,375,pistol,258,108,442,298
armas (1535),500,333,pistol,185,161,247,199
armas (1536),500,333,pistol,317,132,453,197
armas (1537),500,419,pistol,149,26,499,372
armas (1538),333,500,pistol,182,176,200,198
armas (1539),500,424,pistol,162,18,499,421
armas (1540),333,500,pistol,17,58,316,456
armas (1541),350,376,pistol,14,11,335,252
armas (1542),500,333,pistol,54,142,354,288
armas (1542),500,333,pistol,203,52,444,215
armas (1543),320,209,pistol,126,8,162,114
armas (1544),500,375,pistol,181,136,289,279
armas (1545),500,333,pistol,109,57,396,284
armas (1546),500,333,pistol,85,9,432,333
armas (1547),313,500,pistol,101,278,149,382
armas (1548),500,333,pistol,39,220,112,246
armas (1548),500,333,pistol,190,222,266,254
armas (1548),500,333,pistol,389,217,463,246
armas (1549),500,333,pistol,306,123,360,151
armas (1550),500,432,pistol,1,75,246,276
armas (1551),334,500,pistol,192,224,247,249
armas (1551),334,500,pistol,136,180,167,221
armas (1552),333,500,pistol,94,131,123,166
armas (1553),500,334,pistol,96,53,159,136
armas (1554),334,500,pistol,127,287,162,325
armas (1555),500,332,pistol,83,1,430,320
armas (1556),500,332,pistol,92,73,449,314
armas (1557),500,332,pistol,63,40,490,321
armas (1558),500,400,pistol,32,169,403,391
armas (1559),500,375,pistol,29,97,438,349
armas (1560),400,500,pistol,74,101,165,228
armas (1561),500,375,pistol,9,68,488,284
armas (1562),375,500,pistol,40,250,373,360
armas (1563),500,375,pistol,30,102,475,293
armas (1564),500,375,pistol,18,71,489,274
armas (1565),375,500,pistol,1,286,328,403
armas (1565),375,500,pistol,243,184,367,240
armas (1566),500,351,pistol,238,134,348,243
armas (1567),500,281,pistol,33,26,449,271
armas (1568),500,281,pistol,162,21,285,235
armas (1569),500,334,pistol,12,50,407,331
armas (1570),407,500,pistol,21,13,406,476
armas (1571),400,282,pistol,91,50,331,211
armas (1572),500,340,pistol,13,26,482,296
armas (1573),500,262,pistol,29,57,315,262
armas (1573),500,262,pistol,241,120,412,261
armas (1574),500,390,pistol,16,66,255,361
armas (1574),500,390,pistol,253,16,481,367
armas (1575),500,449,pistol,16,219,244,397
armas (1575),500,449,pistol,252,208,482,430
armas (1575),500,449,pistol,29,52,230,224
armas (1575),500,449,pistol,288,37,468,156
armas (1576),500,375,pistol,8,119,488,287
armas (1577),320,302,pistol,111,21,294,254
armas (1578),455,500,pistol,164,276,268,346
armas (1579),500,429,pistol,1,1,323,339
armas (1580),500,333,pistol,29,65,431,303
armas (1581),333,500,pistol,10,53,295,208
armas (1582),500,333,pistol,11,118,465,282
armas (1582),500,333,pistol,150,1,342,70
armas (1582),500,333,pistol,375,7,499,80
armas (1583),333,500,pistol,8,66,302,238
armas (1584),500,333,pistol,268,88,337,136
armas (1585),500,333,pistol,60,166,100,227
armas (1585),500,333,pistol,166,164,192,231
armas (1586),500,375,pistol,1,72,500,303
armas (1587),500,386,pistol,339,111,368,128
armas (1588),500,271,pistol,1,18,494,260
armas (1589),500,364,pistol,36,51,454,247
armas (1590),500,375,pistol,44,199,290,362
armas (1590),500,375,pistol,131,109,361,271
armas (1590),500,375,pistol,203,17,427,177
armas (1591),500,375,pistol,151,53,317,268
armas (1591),500,375,pistol,245,126,409,347
armas (1592),500,333,pistol,397,108,486,203
armas (1593),500,357,pistol,30,87,491,318
armas (1594),500,334,pistol,129,62,325,185
armas (1594),500,334,pistol,251,65,393,192
armas (1595),500,380,pistol,9,10,488,369
armas (1596),500,357,pistol,130,67,374,218
armas (1596),500,357,pistol,133,134,375,287
armas (1597),500,334,pistol,187,26,217,48
armas (1598),500,375,pistol,1,98,499,375
armas (1598),500,375,pistol,1,1,500,209
armas (1599),267,500,pistol,6,60,182,275
armas (1600),500,331,pistol,225,172,277,247
armas (1601),500,499,pistol,3,17,488,219
armas (1602),375,500,pistol,53,48,231,456
armas (1603),500,347,pistol,28,34,461,326
armas (1604),500,313,pistol,21,35,466,304
armas (1605),500,298,pistol,379,156,463,220
armas (1606),450,306,pistol,64,36,389,282
armas (1607),500,356,pistol,30,226,176,320
armas (1607),500,356,pistol,7,153,179,255
armas (1607),500,356,pistol,102,89,214,136
armas (1607),500,356,pistol,184,138,347,239
armas (1607),500,356,pistol,238,238,346,324
armas (1607),500,356,pistol,317,205,459,306
armas (1607),500,356,pistol,322,103,450,195
armas (1607),500,356,pistol,181,33,303,129
armas (1607),500,356,pistol,30,7,213,139
armas (1607),500,356,pistol,265,7,438,99
armas (1608),500,375,pistol,168,15,314,98
armas (1608),500,375,pistol,119,115,229,196
armas (1608),500,375,pistol,267,117,381,198
armas (1608),500,375,pistol,33,213,142,294
armas (1608),500,375,pistol,346,227,453,313
armas (1609),500,375,pistol,1,1,461,375
armas (1610),375,500,pistol,23,159,174,242
armas (1611),333,500,pistol,10,283,290,429
armas (1612),500,334,pistol,23,31,420,210
armas (1613),500,375,pistol,26,88,490,323
armas (1614),500,263,pistol,153,106,175,124
armas (1615),500,332,pistol,272,126,478,253
armas (1616),500,375,pistol,50,70,373,348
armas (1617),500,333,pistol,235,146,258,166
armas (1618),333,500,pistol,209,232,220,247
armas (1619),500,333,pistol,308,133,340,165
armas (1620),500,333,pistol,29,82,464,252
armas (1621),575,431,pistol,20,23,536,414
armas (1622),500,375,pistol,293,100,355,146
armas (1623),500,256,pistol,13,9,468,247
armas (1624),500,375,pistol,167,140,495,336
armas (1625),500,375,pistol,68,185,248,255
armas (1625),500,375,pistol,241,112,386,167
armas (1626),450,338,pistol,76,50,383,261
armas (1627),500,255,pistol,207,115,254,159
armas (1628),460,345,pistol,26,93,445,264
armas (1629),500,375,pistol,146,122,374,307
armas (1630),500,281,pistol,66,27,424,199
armas (1631),500,281,pistol,18,16,476,243
armas (1632),500,281,pistol,25,16,473,245
armas (1633),500,398,pistol,70,157,315,382
armas (1633),500,398,pistol,141,27,400,197
armas (1634),479,367,pistol,92,54,374,259
armas (1635),485,500,pistol,307,143,351,184
armas (1636),500,333,pistol,99,11,485,331
armas (1637),500,262,pistol,9,18,484,230
armas (1638),500,375,pistol,57,11,475,301
armas (1639),500,375,pistol,16,27,474,343
armas (1640),500,235,pistol,14,15,477,212
armas (1641),500,400,pistol,16,110,198,375
armas (1642),500,375,pistol,49,40,473,328
armas (1643),500,375,pistol,96,69,446,332
armas (1644),500,375,pistol,16,16,478,278
armas (1645),500,375,pistol,61,47,469,348
armas (1646),500,375,pistol,79,75,436,327
armas (1647),500,375,pistol,69,45,468,324
armas (1648),500,375,pistol,36,82,470,370
armas (1649),500,327,pistol,58,46,439,230
armas (1650),500,375,pistol,26,51,449,355
armas (1651),500,375,pistol,4,48,483,366
armas (1652),500,375,pistol,78,46,478,301
armas (1653),500,375,pistol,24,35,456,215
armas (1654),500,333,pistol,35,20,453,313
armas (1655),500,500,pistol,209,153,312,409
armas (1656),200,151,pistol,6,5,200,148
armas (1657),400,300,pistol,44,10,344,276
armas (1658),500,456,pistol,86,143,476,425
armas (1659),450,500,pistol,251,74,332,193
armas (1660),334,500,pistol,136,225,184,256
armas (1661),564,423,pistol,27,44,519,319
armas (1662),500,375,pistol,137,52,472,275
armas (1663),500,375,pistol,249,149,287,185
armas (1664),500,292,pistol,91,18,174,201
armas (1665),500,399,pistol,57,133,359,365
armas (1666),500,399,pistol,24,188,129,221
armas (1667),415,500,pistol,3,57,206,406
armas (1668),500,375,pistol,115,172,369,348
armas (1669),500,375,pistol,11,19,345,348
armas (1670),500,375,pistol,77,9,353,371
armas (1671),500,375,pistol,1,42,496,375
armas (1672),450,261,pistol,50,61,185,115
armas (1673),400,282,pistol,51,47,336,237
armas (1674),500,334,pistol,1,1,498,333
armas (1675),480,361,pistol,8,34,472,342
armas (1676),500,326,pistol,204,1,497,324
armas (1677),491,248,pistol,4,2,481,244
armas (1678),375,500,pistol,128,64,325,404
armas (1679),491,500,pistol,150,1,489,449
armas (1680),450,325,pistol,40,95,448,318
armas (1680),450,325,pistol,9,2,428,200
armas (1681),375,500,pistol,240,220,265,243
armas (1681),375,500,pistol,231,128,278,146
armas (1682),500,375,pistol,94,67,140,82
armas (1683),500,375,pistol,356,225,498,374
armas (1684),480,360,pistol,327,149,347,164
armas (1685),480,360,pistol,290,171,346,215
armas (1686),500,375,pistol,290,167,323,199
armas (1687),540,414,pistol,69,13,497,376
armas (1687),540,414,pistol,43,1,213,210
armas (1688),500,329,pistol,134,81,291,161
armas (1689),500,375,pistol,331,147,355,173
armas (1690),500,375,pistol,223,195,244,222
armas (1690),500,375,pistol,435,298,500,343
armas (1691),500,375,pistol,211,158,261,211
armas (1692),500,375,pistol,127,149,292,235
armas (1693),500,320,pistol,32,36,461,288
armas (1694),500,333,pistol,31,78,500,309
armas (1695),500,375,pistol,79,148,380,281
armas (1696),500,375,pistol,20,89,284,260
armas (1697),500,333,pistol,47,12,464,264
armas (1698),500,375,pistol,3,50,494,330
armas (1699),333,500,pistol,134,328,197,431
armas (1700),500,375,pistol,15,198,211,318
armas (1700),500,375,pistol,91,73,412,277
armas (1701),500,375,pistol,80,86,482,374
armas (1702),450,300,pistol,38,22,409,285
armas (1703),500,369,pistol,6,1,492,363
armas (1704),402,500,pistol,127,174,155,194
armas (1705),758,407,pistol,4,49,751,318
armas (1706),500,332,pistol,40,160,136,235
armas (1707),500,332,pistol,234,137,257,190
armas (1708),500,332,pistol,208,157,236,222
armas (1709),500,332,pistol,265,94,274,115
armas (1710),500,375,pistol,34,45,478,360
armas (1711),500,375,pistol,82,15,470,355
armas (1712),500,375,pistol,16,25,500,349
armas (1713),342,500,pistol,194,175,294,259
armas (1714),500,333,pistol,341,77,397,103
armas (1715),500,375,pistol,220,67,274,91
armas (1716),500,375,pistol,76,1,369,204
armas (1717),480,360,pistol,1,5,465,274
armas (1718),360,277,pistol,10,6,347,267
armas (1719),500,375,pistol,17,38,494,344
armas (1720),500,375,pistol,139,144,297,241
armas (1720),500,375,pistol,224,227,329,300
armas (1721),450,300,pistol,27,25,199,185
armas (1722),500,375,pistol,42,64,451,327
armas (1723),768,1024,pistol,42,110,705,994
armas (1724),358,500,pistol,19,61,74,198
armas (1725),500,375,pistol,51,38,467,353
armas (1726),500,333,pistol,76,22,419,303
armas (1726),500,333,pistol,54,202,425,290
armas (1727),500,172,pistol,5,6,239,167
armas (1727),500,172,pistol,262,7,493,164
armas (1728),500,375,pistol,313,122,383,157
armas (1729),500,333,pistol,1,115,390,327
armas (1730),500,333,pistol,134,88,446,281
armas (1731),500,333,pistol,26,45,450,274
armas (1732),400,272,pistol,45,78,165,130
armas (1733),400,600,pistol,89,84,304,198
armas (1733),400,600,pistol,15,319,374,590
armas (1734),500,375,pistol,1,86,209,227
armas (1734),500,375,pistol,322,88,497,223
armas (1735),500,375,pistol,1,32,308,375
armas (1736),500,264,pistol,30,24,480,237
armas (1737),500,375,pistol,35,26,485,235
armas (1738),500,375,pistol,54,63,462,312
armas (1739),500,376,pistol,32,47,474,323
armas (1740),500,313,pistol,21,3,410,277
armas (1741),500,376,pistol,28,54,450,331
armas (1742),500,376,pistol,20,59,454,347
armas (1743),500,376,pistol,16,35,461,345
armas (1744),450,300,pistol,82,17,317,190
armas (1745),500,350,pistol,12,19,492,330
armas (1746),378,500,pistol,8,32,372,475
armas (1747),500,478,pistol,16,20,489,457
armas (1748),500,323,pistol,7,29,476,296
armas (1749),413,423,pistol,100,90,375,393
armas (1750),1131,744,pistol,19,12,1105,727
armas (1751),600,443,pistol,61,114,309,262
armas (1752),600,450,pistol,162,59,520,312
armas (1753),500,375,pistol,76,80,390,375
armas (1754),450,326,pistol,9,2,449,325
armas (1755),500,300,pistol,23,55,486,281
armas (1756),401,317,pistol,51,72,345,301
armas (1757),400,343,pistol,25,39,399,278
armas (1757),400,343,pistol,5,7,382,249
armas (1758),170,127,pistol,2,47,162,119
armas (1759),400,300,pistol,2,16,105,157
armas (1759),400,300,pistol,192,43,317,129
armas (1759),400,300,pistol,243,77,396,227
armas (1760),242,375,pistol,41,160,91,270
armas (1761),376,472,pistol,127,264,355,453
armas (1762),508,256,pistol,13,14,496,243
armas (1763),1000,632,pistol,19,32,1000,612
armas (1764),500,391,pistol,63,78,457,297
armas (1765),350,277,pistol,14,9,331,259
armas (1766),400,287,pistol,19,17,378,268
armas (1767),500,389,pistol,32,10,459,344
armas (1768),359,251,pistol,28,44,336,244
armas (1769),400,268,pistol,2,2,400,229
armas (1770),320,240,pistol,24,24,310,186
armas (1771),300,403,pistol,4,24,280,360
armas (1772),331,281,pistol,28,21,299,273
armas (1773),461,332,pistol,14,20,424,293
armas (1774),463,323,pistol,18,17,433,291
armas (1775),457,331,pistol,11,15,430,296
armas (1776),559,455,pistol,6,13,481,445
armas (1777),1920,1200,pistol,408,233,1836,1075
armas (1778),1920,1200,pistol,640,50,1257,1141
armas (1779),1920,1200,pistol,645,150,1919,1196
armas (1780),240,160,pistol,40,39,217,99
armas (1781),240,160,pistol,19,45,223,100
armas (1782),240,160,pistol,24,37,218,111
armas (1783),470,600,pistol,26,146,456,467
armas (1784),1920,1080,pistol,1008,64,1102,243
armas (1784),1920,1080,pistol,1355,726,1472,953
armas (1785),160,89,pistol,22,1,158,70
armas (1786),160,89,pistol,6,31,159,61
armas (1787),2560,1600,pistol,698,142,2551,1015
armas (1787),2560,1600,pistol,63,255,1766,1535
armas (1788),325,426,pistol,92,220,193,301
armas (1789),610,394,pistol,82,90,386,234
armas (1790),610,404,pistol,124,65,320,403
armas (1791),220,135,pistol,97,19,160,49
armas (1792),1400,1050,pistol,80,121,1315,1001
armas (1793),1440,900,pistol,408,45,1240,883
armas (1794),1024,576,pistol,130,64,866,477
armas (1795),379,261,pistol,6,2,365,251
armas (1796),1280,853,pistol,106,123,1097,688
armas (1797),1280,853,pistol,134,99,1127,851
armas (1798),1280,853,pistol,45,65,1232,791
armas (1799),1280,853,pistol,64,103,1235,752
armas (1800),300,202,pistol,199,73,281,104
armas (1801),900,599,pistol,268,97,557,447
armas (1801),900,599,pistol,134,107,465,592
armas (1802),640,446,pistol,160,95,186,131
armas (1803),1300,956,pistol,401,169,495,278
armas (1804),1300,956,pistol,513,191,571,250
armas (1805),346,540,pistol,205,170,238,270
armas (1806),346,540,pistol,165,129,280,361
armas (1807),800,430,pistol,339,159,405,248
armas (1808),615,409,pistol,391,166,584,325
armas (1809),640,500,pistol,399,191,469,253
armas (1810),346,540,pistol,164,351,252,519
armas (1811),866,1390,pistol,457,565,791,1226
armas (1812),640,361,pistol,8,16,629,338
armas (1813),482,659,pistol,113,257,223,364
armas (1814),290,174,pistol,112,77,140,94
armas (1814),290,174,pistol,166,30,190,46
armas (1815),392,500,pistol,159,385,250,481
armas (1816),567,794,pistol,23,174,223,471
armas (1816),567,794,pistol,260,356,552,666
armas (1817),640,444,pistol,172,200,288,389
armas (1818),512,364,pistol,144,233,183,285
armas (1819),309,203,pistol,74,60,255,174
armas (1820),1024,1024,pistol,1,219,894,968
armas (1821),1024,1024,pistol,1,207,851,818
armas (1822),1024,1024,pistol,4,135,939,519
armas (1823),1024,1024,pistol,1,216,845,577
armas (1824),600,337,pistol,217,124,420,336
armas (1825),283,296,pistol,219,118,269,154
armas (1826),396,263,pistol,126,106,158,134
armas (1827),396,286,pistol,132,84,219,131
armas (1828),750,563,pistol,38,32,703,466
armas (1829),300,214,pistol,6,32,299,170
armas (1830),640,401,pistol,43,74,409,322
armas (1831),259,194,pistol,27,23,92,48
armas (1832),310,282,pistol,100,114,121,135
armas (1833),640,480,pistol,226,6,508,472
armas (1834),895,449,pistol,544,274,652,356
armas (1834),895,449,pistol,402,339,446,446
armas (1835),660,401,pistol,191,140,344,258
armas (1836),450,291,pistol,47,15,400,275
armas (1837),610,915,pistol,151,183,207,232
armas (1837),610,915,pistol,401,186,433,235
armas (1837),610,915,pistol,80,506,125,557
armas (1837),610,915,pistol,391,515,422,593
armas (1837),610,915,pistol,76,838,111,904
armas (1838),1500,897,pistol,40,44,1457,877
armas (1839),400,500,pistol,152,40,384,420
armas (1840),500,371,pistol,211,32,425,125
armas (1841),2272,1704,pistol,1,362,2266,1704
armas (1842),380,380,pistol,116,8,260,352
armas (1843),550,384,pistol,49,72,467,323
armas (1844),481,333,pistol,16,11,465,315
armas (1845),640,476,pistol,1,33,640,389
armas (1846),475,356,pistol,69,47,304,268
armas (1847),481,354,pistol,46,129,61,151
armas (1847),481,354,pistol,29,231,46,258
armas (1848),300,269,pistol,27,95,76,172
armas (1849),600,375,pistol,247,102,526,334
armas (1850),575,315,pistol,245,89,318,127
armas (1851),700,467,pistol,229,163,304,313
armas (1852),648,369,pistol,45,1,171,250
armas (1853),1280,720,pistol,690,465,909,636
armas (1854),600,420,pistol,166,148,242,260
armas (1855),640,360,pistol,65,89,117,125
armas (1856),1300,1048,pistol,587,308,725,400
armas (1857),1079,685,pistol,208,330,317,507
armas (1858),906,706,pistol,332,188,401,289
armas (1859),2592,1944,pistol,1144,874,1300,1254
armas (1860),640,480,pistol,185,167,403,288
armas (1861),1300,1134,pistol,230,618,685,996
armas (1862),1300,706,pistol,549,215,830,409
armas (1863),320,180,pistol,38,16,273,159
armas (1864),1169,794,pistol,24,72,1133,778
armas (1865),916,526,pistol,8,13,901,510
armas (1866),517,264,pistol,274,157,359,202
armas (1867),640,446,pistol,1,1,640,425
armas (1868),450,333,pistol,191,120,247,199
armas (1869),426,282,pistol,37,99,158,200
armas (1870),600,400,pistol,72,33,531,368
armas (1871),640,480,pistol,397,218,451,259
armas (1872),800,533,pistol,535,183,705,296
armas (1873),450,381,pistol,24,47,398,309
armas (1874),500,412,pistol,44,33,344,202
armas (1875),800,532,pistol,345,210,603,394
armas (1876),800,530,pistol,1,135,284,427
armas (1877),800,492,pistol,503,221,713,356
armas (1878),800,600,pistol,572,191,727,293
armas (1879),500,400,pistol,20,42,411,212
armas (1880),640,426,pistol,185,152,599,406
armas (1881),1250,938,pistol,285,34,1097,701
armas (1882),2212,3318,pistol,777,985,903,1374
armas (1883),480,274,pistol,1,1,480,274
armas (1884),500,340,pistol,176,72,440,192
armas (1885),500,334,pistol,190,35,408,285
armas (1886),800,430,pistol,346,65,456,394
armas (1887),390,285,pistol,68,40,173,219
armas (1888),800,430,pistol,347,179,448,385
armas (1889),347,540,pistol,187,62,235,127
armas (1890),480,605,pistol,119,141,337,383
armas (1891),300,250,pistol,130,97,203,161
armas (1892),470,152,pistol,24,62,249,126
armas (1893),720,480,pistol,153,205,492,375
armas (1894),2000,1333,pistol,354,225,1766,1225
armas (1895),1300,960,pistol,202,252,769,638
armas (1896),1300,1065,pistol,268,221,1200,711
armas (1897),650,455,pistol,33,10,600,422
armas (1898),1500,1125,pistol,859,260,1366,665
armas (1899),640,499,pistol,182,175,246,244
armas (1900),708,495,pistol,414,181,642,273
armas (1901),900,600,pistol,663,171,854,254
armas (1902),1300,1330,pistol,208,736,885,1150
armas (1903),1300,1330,pistol,526,687,1202,1073
armas (1904),1300,1330,pistol,522,693,1189,1091
armas (1905),1300,1330,pistol,144,254,836,640
armas (1906),1300,1330,pistol,146,252,842,650
armas (1907),866,1390,pistol,161,631,559,1056
armas (1908),843,1390,pistol,380,905,554,1048
armas (1909),220,165,pistol,50,1,171,158
armas (1910),635,431,pistol,257,176,333,310
armas (1911),300,225,pistol,150,23,161,41
armas (1912),267,300,pistol,36,150,125,204
armas (1913),225,300,pistol,52,162,75,206
armas (1914),788,1000,pistol,76,87,758,696
armas (1915),302,210,pistol,38,23,189,133
armas (1916),450,338,pistol,37,14,449,203
armas (1916),450,338,pistol,115,204,217,285
armas (1917),635,474,pistol,238,1,554,474
armas (1918),3000,2208,pistol,605,631,1936,1390
armas (1918),3000,2208,pistol,1781,1145,2881,1931
armas (1918),3000,2208,pistol,1467,324,2853,1252
armas (1919),1000,751,pistol,1,194,998,750
armas (1920),1024,176,pistol,5,22,186,151
armas (1921),351,258,pistol,4,7,339,250
armas (1922),1000,650,pistol,35,104,940,584
armas (1923),400,545,pistol,53,102,102,131
armas (1924),815,516,pistol,3,3,813,512
armas (1925),400,211,pistol,3,3,383,203
armas (1926),640,424,pistol,35,1,640,360
armas (1927),780,456,pistol,237,8,519,208
armas (1928),550,310,pistol,61,33,269,164
armas (1929),1038,1600,pistol,1,87,1034,1497
armas (1930),1500,1289,pistol,470,201,1205,1081
armas (1931),1500,1100,pistol,762,311,1234,863
armas (1932),1004,1600,pistol,747,309,905,378
armas (1933),450,320,pistol,288,78,419,224
armas (1934),1500,1100,pistol,154,343,650,955
armas (1935),1500,1221,pistol,141,201,958,823
armas (1936),1500,1600,pistol,785,317,1329,958
armas (1937),1500,1165,pistol,218,150,775,527
armas (1938),450,412,pistol,165,196,290,287
armas (1939),1500,1312,pistol,557,464,937,1108
armas (1940),1500,1150,pistol,628,455,764,715
armas (1941),1500,1180,pistol,466,193,1177,943
armas (1942),1500,1017,pistol,350,66,1400,777
armas (1943),1012,1600,pistol,199,100,838,1160
armas (1944),1500,1100,pistol,250,115,1135,690
armas (1945),1500,965,pistol,656,228,1221,647
armas (1946),1500,1098,pistol,552,310,632,409
armas (1947),450,406,pistol,274,36,338,121
armas (1948),1500,1176,pistol,613,345,813,745
armas (1949),1500,1100,pistol,662,113,824,210
armas (1950),1500,1100,pistol,555,275,734,371
armas (1951),300,470,pistol,96,322,132,365
armas (1952),1001,1600,pistol,560,102,623,263
armas (1953),1500,1100,pistol,382,355,662,491
armas (1954),450,320,pistol,176,70,230,152
armas (1955),1500,1100,pistol,617,81,867,585
armas (1956),1500,1554,pistol,403,972,548,1246
armas (1957),1001,1600,pistol,172,736,416,870
armas (1958),1119,1600,pistol,446,236,721,695
armas (1959),1500,1187,pistol,190,204,1138,788
armas (1960),450,423,pistol,149,140,347,285
armas (1961),167,150,pistol,65,118,112,146
armas (1962),680,381,pistol,283,168,315,189
armas (1963),341,243,pistol,43,106,177,206
armas (1964),620,465,pistol,1,1,479,395
armas (1965),256,197,pistol,72,61,102,112
armas (1966),1300,956,pistol,133,327,543,651
armas (1967),1280,720,pistol,436,300,536,426
armas (1968),420,316,pistol,63,78,326,224
armas (1969),2048,1152,pistol,265,140,1743,946
armas (1970),615,409,pistol,184,224,202,272
armas (1971),615,403,pistol,315,163,388,226
armas (1972),450,278,pistol,136,11,422,156
armas (1972),450,278,pistol,136,110,433,238
armas (1973),450,221,pistol,5,6,443,213
armas (1974),450,300,pistol,11,2,446,260
armas (1975),1100,733,pistol,76,6,1009,726
armas (1976),478,336,pistol,110,105,186,155
armas (1976),478,336,pistol,29,68,80,116
armas (1977),200,200,pistol,1,98,28,153
armas (1978),1300,953,pistol,456,2,1220,554
armas (1979),640,445,pistol,86,140,639,423
armas (1980),1300,953,pistol,184,285,1298,870
armas (1981),1300,953,pistol,1,1,1049,866
armas (1982),640,445,pistol,1,10,640,426
armas (1983),640,1273,pistol,69,3,576,1265
armas (1984),680,450,pistol,73,103,496,359
armas (1985),1067,600,pistol,577,174,611,192
armas (1986),900,675,pistol,1,56,898,671
armas (1987),900,675,pistol,95,39,775,643
armas (1988),900,675,pistol,3,126,900,673
armas (1989),620,412,pistol,302,95,607,316
armas (1990),640,472,pistol,86,36,556,259
armas (1991),251,188,pistol,82,85,96,109
armas (1991),251,188,pistol,139,85,151,111
armas (1992),720,576,pistol,141,78,230,345
armas (1993),625,424,pistol,250,176,325,302
armas (1994),800,532,pistol,272,186,678,340
armas (1995),316,450,pistol,236,14,312,67
armas (1996),837,418,pistol,75,39,730,417
armas (1997),640,444,pistol,102,58,348,324
armas (1998),640,444,pistol,394,234,547,301
armas (1999),858,1280,pistol,386,449,490,553
armas (2000),350,299,pistol,27,24,313,270
armas (2001),1060,455,pistol,327,215,742,455
armas (2002),450,319,pistol,45,98,135,119
armas (2003),320,252,pistol,39,56,273,210
armas (2004),620,350,pistol,263,191,321,220
armas (2004),620,350,pistol,394,64,431,97
armas (2005),660,495,pistol,107,261,392,430
armas (2006),800,619,pistol,25,15,764,511
armas (2007),800,483,pistol,9,36,799,452
armas (2008),600,343,pistol,14,127,197,275
armas (2009),660,491,pistol,272,181,658,361
armas (2010),212,285,pistol,42,113,108,263
armas (2011),768,576,pistol,45,98,687,494
armas (2012),1024,576,pistol,171,45,817,564
armas (2013),978,259,pistol,262,14,682,223
armas (2014),2032,1048,pistol,1439,234,1953,656
armas (2015),640,846,pistol,64,188,578,448
armas (2015),640,846,pistol,127,457,478,706
armas (2016),1280,1920,pistol,226,660,603,1451
armas (2017),558,165,pistol,1,2,226,165
armas (2017),558,165,pistol,334,8,534,147
armas (2018),350,350,pistol,185,80,346,317
armas (2019),299,470,pistol,119,330,175,396
armas (2020),506,307,pistol,26,16,482,296
armas (2021),1920,1200,pistol,136,375,555,698
armas (2022),940,705,pistol,515,171,628,221
armas (2023),1129,1390,pistol,471,646,599,716
armas (2024),850,473,pistol,182,81,755,422
armas (2025),800,524,pistol,417,98,674,482
armas (2026),645,349,pistol,27,214,199,339
armas (2027),661,496,pistol,408,219,442,248
armas (2027),661,496,pistol,337,170,354,194
armas (2028),661,496,pistol,197,162,235,187
armas (2029),661,496,pistol,321,151,342,181
armas (2029),661,496,pistol,453,144,466,157
armas (2030),661,496,pistol,355,229,435,335
armas (2031),661,496,pistol,85,157,135,206
armas (2032),661,496,pistol,221,307,260,383
armas (2033),300,315,pistol,76,6,162,238
